pseudo,name,nationality,birthdate,team
sidde,Sidnei Macedo Pereira Filho,Brazil,1997-02-06,FURIA
XTQZZZ,Rémy Quoniam,France,1988-12-23,Team Vitality
zonic,Danny Selim Sørensen,Denmark,1986-07-30,Team Falcons
maaRaa,Erdenedalai Bayanbat,Mongolia,1990-04-13,The MongolZ
sycrone,Dennis Benthin Nielsen,Denmark,1996-02-11,MOUZ
hally,Sergey Shavayev,Russia,1993-07-06,Team Spirit
sAw,Eetu Juho Oskari Saha,Finland,1992-07-30,G2 Esports
rikz,Henrique Waku Esteves de Oliveira,Brazil,1991-01-13,paiN Gaming
Fabre,Sezgin Kalaycı,Turkey,1990-06-01,Aurora Gaming
B1ad3,Andrii Oleksiiovych Horodenskyi,Ukraine,1986-11-11,Natus Vincere
flashie,Viktor Tamás Bea,Hungary,1995-08-21,Team Liquid
YouKnow,Pierre Marco,France,2000-02-12,3DMAX
ruggah,Casper Thrane Due,Denmark,1988-09-01,Astralis
zhokiNg,Zhong Weijie,China,1993-12-07,TYLOO
jnt,Jhonatan Silva Moura,Brazil,1994-05-22,MIBR
T.c,Tiaan Coertzen,South Africa,1992-08-23,Passion UA
chucky,Olavo Bistaffa Napoleão Miaira,Brazil,1988-03-15,Legacy
NEO,Filip Borys Kubski,Poland,1987-06-15,FaZe Clan
Maddened,Ivan Iordanidi,Russia,2000-12-04,B8
ashhh,Ashley Battye,United Kingdom,1990-09-11,GamerLegion
Independent,Miks Siliņš,Latvia,1998-07-03,Fnatic
dastan,Dastan Aqbaev,Kazakhstan,1993-08-05,PARIVISION
Xizt,Stig Richard Landström,Sweden,1991-02-22,Ninjas in Pyjamas
zakk,Rafael Fernandes,Brazil,1991-11-14,Imperial Esports
AZR,Aaron Christian Charles Ward,Australia,1992-10-02,FlyQuest
GUM,Dai Yifei,China,1992-09-25,Lynn Vision Gaming
dephh,Rory Benjamin Jackson,United Kingdom,1991-12-23,M80
tacitus,Marcos Gabriel de Almeida e Castilho,Brazil,1999-11-25,Fluxo
tge,Gustavo Motta,Brazil,1997-10-24,RED Canids
carnage,Badral Purevkhuu,Mongolia,1988-08-02,The Huns Esports
daps,Damian Steele,Canada,1993-07-28,NRG
z8z,Liu Zhenghui,China,1989-06-04,Rare Atom
