date,round,group,best_of,player_1,player_2,score_player_1,score_player_2
2016-02-17,RO32,A,3,Rogue,Journey,0,2
2016-02-17,RO32,A,3,Taeja,Zest,0,2
2016-02-17,RO32,A,3,Journey,Zest,1,2
2016-02-17,RO32,A,3,Rogue,Taeja,0,2
2016-02-17,RO32,A,3,Journey,Taeja,1,2
2016-02-19,RO32,B,3,herO,Leenock,2,1
2016-02-19,RO32,B,3,Seed,Dream,0,2
2016-02-19,RO32,B,3,herO,Dream,1,2
2016-02-19,RO32,B,3,Leenock,Seed,1,2
2016-02-19,RO32,B,3,herO,Seed,2,0
2016-02-24,RO32,C,3,MyuNgSiK,Bunny,2,1
2016-02-24,RO32,C,3,Symbol,Soulkey,0,2
2016-02-24,RO32,C,3,MyuNgSiK,Soulkey,2,0
2016-02-24,RO32,C,3,Bunny,Symbol,2,0
2016-02-24,RO32,C,3,Soulkey,Bunny,1,2
2016-02-26,RO32,D,3,Curious,Forte,2,1
2016-02-26,RO32,D,3,Stork,Cure,0,2
2016-02-26,RO32,D,3,Curious,Cure,0,2
2016-02-26,RO32,D,3,Forte,Stork,1,2
2016-02-26,RO32,D,3,Curious,Stork,2,0
2016-03-02,RO32,E,3,TY,DeParture,2,0
2016-03-02,RO32,E,3,Trap,Super,2,0
2016-03-02,RO32,E,3,TY,Trap,2,0
2016-03-02,RO32,E,3,DeParture,Super,0,2
2016-03-02,RO32,E,3,Trap,Super,2,1
2016-03-04,RO32,F,3,Solar,SpeeD,2,1
2016-03-04,RO32,F,3,Creator,Classic,1,2
2016-03-04,RO32,F,3,Solar,Classic,2,1
2016-03-04,RO32,F,3,SpeeD,Creator,2,1
2016-03-04,RO32,F,3,Classic,SpeeD,1,2
2016-03-09,RO32,G,3,Dark,aLive,2,0
2016-03-09,RO32,G,3,Losira,Bbyong,W,L
2016-03-09,RO32,G,3,Dark,Losira,2,0
2016-03-09,RO32,G,3,aLive,Bbyong,W,L
2016-03-09,RO32,G,3,Losira,aLive,2,1
2016-03-11,RO32,H,3,Dear,DongRaeGu,2,0
2016-03-11,RO32,H,3,HerO,soO,0,2
2016-03-11,RO32,H,3,Dear,soO,2,0
2016-03-11,RO32,H,3,DongRaeGu,HerO,2,1
2016-03-11,RO32,H,3,soO,DongRaeGu,2,1
2016-04-01,RO16,A,3,herO,SpeeD,2,0
2016-04-01,RO16,A,3,Trap,Taeja,2,1
2016-04-01,RO16,A,3,herO,Trap,2,1
2016-04-01,RO16,A,3,SpeeD,Taeja,0,2
2016-04-01,RO16,A,3,Trap,Taeja,0,2
2016-04-02,RO16,B,3,Solar,soO,0,2
2016-04-02,RO16,B,3,Zest,Cure,2,0
2016-04-02,RO16,B,3,soO,Zest,0,2
2016-04-02,RO16,B,3,Solar,Cure,0,2
2016-04-02,RO16,B,3,soO,Cure,0,2
2016-04-06,RO16,C,3,Curious,Losira,1,2
2016-04-06,RO16,C,3,Dream,Dark,2,0
2016-04-06,RO16,C,3,Losira,Dream,0,2
2016-04-06,RO16,C,3,Curious,Dark,0,2
2016-04-06,RO16,C,3,Losira,Dark,2,1
2016-04-08,RO16,D,3,Dear,Bunny,2,1
2016-04-08,RO16,D,3,MyuNgSiK,TY,1,2
2016-04-08,RO16,D,3,Dear,TY,2,0
2016-04-08,RO16,D,3,Bunny,MyuNgSiK,1,2
2016-04-08,RO16,D,3,TY,MyuNgSiK,2,0
2016-04-13,RO8,,5,herO,Cure,1,3
2016-04-13,RO8,,5,Dream,TY,0,3
2016-04-15,RO8,,5,Taeja,Zest,0,3
2016-04-15,RO8,,5,Losira,Dear,1,3
2016-04-20,RO4,,7,Cure,TY,0,4
2016-04-22,RO4,,7,Zest,Dear,4,0
2016-05-01,RO2,,7,TY,Zest,2,4
