pseudo,name,nationality,birthdate,race,team
Zest,Joo Sung-wook,South Korea,1992-07-11,Protoss,KT Rolster
Taeja,Yun Young-seo,South Korea,1995-01-01,Terran,Team Liquid
Journey,Seo Tae-hee,South Korea,1992-08-11,Terran,SK Telecom T1
Rogue,Lee Byeong-yeol,South Korea,1994-01-13,Zerg,Jin Air Green Wings
Dream,Cho Joong-hyuk,South Korea,1996-10-27,Terran,SK Telecom T1
herO,Kim Joon-ho,South Korea,1992-08-18,Protoss,CJ Entus
Seed,Ahn Sang-won,South Korea,1991-01-13,Protoss,MVP
Leenock,Lee Dong-nyoung,South Korea,1995-04-01,Zerg,KT Rolster
MyuNgSiK,Kim Myung-Sik,South Korea,1994-11-05,Protoss,SK Telecom T1
Bunny,Lee Jae-seon,South Korea,1995-09-11,Terran,DuSt Gaming
Soulkey,Kim Min-chul,South Korea,1991-12-10,Zerg,TCM-Gaming
Symbol,Kang Dong-hyun,South Korea,1992-01-02,Zerg,Afreeca Freecs
Cure,Kim Doh-wook,South Korea,1994-11-25,Terran,Jin Air Green Wings
Curious,Lee Won-pyo,South Korea,1990-03-28,Zerg,Afreeca Freecs
Stork,Song Byung-goo,South Korea,1988-08-04,Protoss,Samsung Galaxy
Forte,Kim Ki Yong,South Korea,1996-12-26,Terran,MVP
TY,Jeon Tae-yang,South Korea,1994-09-18,Terran,KT Rolster
Trap,Cho Seong-ho,South Korea,1994-03-24,Protoss,Jin Air Green Wings
Super,Seo Sung-min,South Korea,1994-05-04,Protoss,Afreeca Freecs
DeParture,Hyun Sung-min,South Korea,1995-08-22,Zerg,MVP
Solar,Kang Min-soo,South Korea,1996-05-09,Zerg,Splyce
SpeeD,Park Kun-il,South Korea,1997-06-27,Terran,KT Rolster
Classic,Kim Doh-woo,South Korea,1991-11-27,Protoss,SK Telecom T1
Creator,Jang Hyun-woo,South Korea,1997-02-23,Protoss,Jin Air Green Wings
Dark,Park Ryung-woo,South Korea,1995-10-06,Zerg,SK Telecom T1
Losira,Hwang Kang-ho,South Korea,1992-04-11,Zerg,KT Rolster
aLive,Han Lee-seok,South Korea,1992-11-16,Terran,Afreeca Freecs
Bbyong,Jung Woo-yong,South Korea,1992-09-08,Terran,CJ Entus
Dear,Baek Dong-jun,South Korea,1994-05-25,Protoss,Samsung Galaxy
soO,Eo Yun-su,South Korea,1992-09-24,Zerg,SK Telecom T1
DongRaeGu,Park Soo-ho,South Korea,1991-06-03,Zerg,SBENU
HerO,Song Hyeon-deok,South Korea,1990-06-06,Protoss,Team RevolutioN
